DPI2007-30811-E->[2009-HUM-154, 2007-TEP-203, 2006-SEJ-112]
2009-SEJ-339->[2011-SEJ-456, 2009-SEJ-336, 2005-SEJ-115]
2005-HUM-202->[2010-CTS-193, 2003-HUM-633, 1997-HUM-144]
1997-FQM-226->[2011-FQM-345, 2009-FQM-333, 2003-HUM-390]
2009-SEJ-336->[2007-SEJ-380, 2005-SEJ-107, 2000-SEJ-164]
2005-RNM-274->[2003-RNM-320, 2010-FQM-122, 2007-FQM-296]
2004-CTS-388->[2000-CTS-204, 2009-CTS-516, 2003-CTS-480]
1997-FQM-223->[2008-FQM-120, 2004-FQM-181, 2002-FQM-206]
INFN2004-002->[2005-SEJ-353, 2009-FQM-223, 2006-SEJ-456]
2011-SEJ-177->[2011-SEJ-480, 2008-SEJ-359, 2011-SEJ-415]
2006-AGR-188->[2006-AGR-153, 2003-SEJ-112, 2008-RNM-135]
PR2011-0080->[ACC-948-SEJ-2002, 2010-HUM-390, 2002-FQM-327]
PR2011-0086->[2011-SEJ-107, 2008-SEJ-467, 2007-BIO-131]
TIC2002-11124-E->[1997-FQM-260, 1997-CTS-166, 2008-HUM-507]
MAT2007-30141-E->[2011-BIO-289, 2005-CTS-439, 2003-HUM-568]
1997-FQM-239->[2006-FQM-131, 2003-FQM-133, 2002-FQM-296]
2009-FQM-189->[2008-FQM-130, 2009-FQM-128, 1997-FQM-226]
2003-SEJ-377->[2011-SEJ-494, 2007-SEJ-258, 2011-SEJ-496]
1997-FQM-237->[2010-FQM-274, 2009-FQM-262, 2002-FQM-164]
2004-CTS-399->[ACPAI-2003-082, 1997-CTS-166, 2000-CTS-173]
FFI2010-09254-E->[ACPAI-2003-080, 2000-CVI-149, 2008-HUM-259]
2002-HUM-697->[2010-HUM-281, 1997-HUM-252, 2003-HUM-555]
2011-SEJ-188->[2011-SEJ-480, 2008-SEJ-183, 2011-SEJ-322]
1997-FQM-240->[2009-FQM-130, 1997-FQM-253, 2002-FQM-132]
1997-FQM-241->[2003-FQM-132, 2006-FQM-226, 2002-FQM-314]
2011-SEJ-183->[2011-SEJ-322, 2008-SEJ-467, 2011-SEJ-456]
ACC-390-HUM-2001->[ACPAI-2003-080, ACC-384-HUM-2001, AC-TEP 113]
2011-SEJ-180->[1997-SEJ-218, 2005-SEJ-230, 2009-SEJ-494]
FIS2011-12724-E->[2008-HUM-486, 2008-SEJ-308, 2002-FQM-104]
